title,first_listed_author,contributor,isbn10,isbn13,bestsellers_list,rank,rank_last_week,weeks_on_list,bestsellers_date,publisher
it starts with us,colleen hoover, colleen hoover,1668001225,9781668001226.0,combined print and e-book fiction,1,3,18,2023-02-18,atria
it ends with us,colleen hoover, colleen hoover,1501110365,9781501110368.0,combined print and e-book fiction,2,2,88,2023-02-18,atria
heart bones,colleen hoover, colleen hoover,1668021919,9781668021910.0,combined print and e-book fiction,3,4,3,2023-02-18,atria
lessons in chemistry,bonnie garmus, bonnie garmus,038554734x,9780385547345.0,combined print and e-book fiction,4,5,15,2023-02-18,doubleday
verity,colleen hoover, colleen hoover,1538724731,9781538724736.0,combined print and e-book fiction,5,8,63,2023-02-18,grand central
the seven husbands of evelyn hugo,taylor jenkins reid, taylor jenkins reid,1501161938,9781501161933.0,combined print and e-book fiction,6,9,85,2023-02-18,washington square/atria
ugly love,colleen hoover, colleen hoover,1476753180,9781476753188.0,combined print and e-book fiction,7,10,58,2023-02-18,atria
daisy jones & the six,taylor jenkins reid, taylor jenkins reid,1524798649,9781524798642.0,combined print and e-book fiction,8,0,7,2023-02-18,ballantine
"tomorrow, and tomorrow, and tomorrow",gabrielle zevin, gabrielle zevin,0593321200,9780593321201.0,combined print and e-book fiction,9,14,10,2023-02-18,knopf
someone else's shoes,jojo moyes, jojo moyes,1984879294,9781984879295.0,combined print and e-book fiction,10,6,2,2023-02-18,pamela dorman
3 days to live,james patterson, james patterson,153875276x,9781538752760.0,combined print and e-book fiction,11,0,1,2023-02-18,grand central
the last orphan,gregg hurwitz, gregg hurwitz,1250252334,9781250252333.0,combined print and e-book fiction,12,0,1,2023-02-18,minotaur
things we never got over,lucy score, lucy score,194563183x,9781945631832.0,combined print and e-book fiction,13,0,3,2023-02-18,bloom
the silent patient,alex michaelides, alex michaelides,125030170x,9781250301703.0,combined print and e-book fiction,14,15,59,2023-02-18,celadon
demon copperhead,barbara kingsolver, barbara kingsolver,0063251922,9780063251922.0,combined print and e-book fiction,15,0,14,2023-02-18,harper
spare,prince harry, prince harry,0593593804,9780593593806.0,combined print and e-book nonfiction,1,1,6,2023-02-18,random house
the body keeps the score,bessel van der kolk, bessel van der kolk,0143127748,9780143127741.0,combined print and e-book nonfiction,2,2,130,2023-02-18,penguin
unscripted,james b. stewart , james b. stewart / rachel abrams,1984879421,9781984879424.0,combined print and e-book nonfiction,3,0,1,2023-02-18,penguin press
i'm glad my mom died,jennette mccurdy, jennette mccurdy,1982185821,9781982185824.0,combined print and e-book nonfiction,4,3,28,2023-02-18,simon & schuster
caste,isabel wilkerson, isabel wilkerson,0593230272,9780593230275.0,combined print and e-book nonfiction,5,0,58,2023-02-18,random house
the light we carry,michelle obama, michelle obama,0593237463,9780593237465.0,combined print and e-book nonfiction,6,5,14,2023-02-18,crown
"love, pamela",pamela , pamela /erson,0063226561,9780063226562.0,combined print and e-book nonfiction,7,4,3,2023-02-18,dey street
bittersweet,susan cain, susan cain,0451499786,9780451499783.0,combined print and e-book nonfiction,8,0,4,2023-02-18,crown
the climate book,greta thunberg, greta thunberg,0593492307,9780593492307.0,combined print and e-book nonfiction,9,0,1,2023-02-18,penguin press
the nazi conspiracy,brad meltzer , brad meltzer / josh mensch,1250777267,9781250777263.0,combined print and e-book nonfiction,10,9,6,2023-02-18,flatiron
walk the blue line,james patterson , james patterson / matt eversmann / chris mooney,0316406600,9780316406604.0,combined print and e-book nonfiction,11,14,2,2023-02-18,"little, brown"
killers of the flower moon,david grann, david grann,0385534256,9780385534253.0,combined print and e-book nonfiction,12,0,71,2023-02-18,doubleday
all about love,bell hooks, bell hooks,0060959479,9780060959470.0,combined print and e-book nonfiction,13,10,37,2023-02-18,morrow
never give an inch,mike pompeo, mike pompeo,0063247445,9780063247444.0,combined print and e-book nonfiction,14,7,4,2023-02-18,broadside
"friends, lovers, and the big terrible thing",matthew perry, matthew perry,1250866448,9781250866448.0,combined print and e-book nonfiction,15,8,16,2023-02-18,flatiron
lessons in chemistry,bonnie garmus, bonnie garmus,038554734x,9780385547345.0,hardcover fiction,1,3,41,2023-02-18,doubleday
"tomorrow, and tomorrow, and tomorrow",gabrielle zevin, gabrielle zevin,0593321200,9780593321201.0,hardcover fiction,2,4,21,2023-02-18,knopf
someone else's shoes,jojo moyes, jojo moyes,1984879294,9781984879295.0,hardcover fiction,3,2,2,2023-02-18,pamela dorman
demon copperhead,barbara kingsolver, barbara kingsolver,0063251922,9780063251922.0,hardcover fiction,4,6,18,2023-02-18,harper
the boys from biloxi,john grisham, john grisham,0385548923,9780385548922.0,hardcover fiction,5,10,18,2023-02-18,doubleday
the house in the pines,ana reyes, ana reyes,0593186710,9780593186718.0,hardcover fiction,6,5,7,2023-02-18,dutton
encore in death,j.d. robb, j.d. robb,1250284082,9781250284082.0,hardcover fiction,7,1,2,2023-02-18,st. martin's
fairy tale,stephen king, stephen king,1668002175,9781668002179.0,hardcover fiction,8,12,24,2023-02-18,scribner
mad honey,jodi picoult , jodi picoult / jennifer finney boylan,1984818384,9781984818386.0,hardcover fiction,9,8,20,2023-02-18,ballantine
the midnight library,matt haig, matt haig,0525559477,9780525559474.0,hardcover fiction,10,14,104,2023-02-18,viking
the house of wolves,james patterson , james patterson / mike lupica,0316404292,9780316404297.0,hardcover fiction,11,11,6,2023-02-18,"little, brown"
remarkably bright creatures,shel van pelt, shel van pelt,0063204150,9780063204157.0,hardcover fiction,12,0,5,2023-02-18,ecco
the house of eve,sadeqa johnson, sadeqa johnson,1982197366,9781982197360.0,hardcover fiction,13,13,2,2023-02-18,simon & schuster
the last orphan,gregg hurwitz, gregg hurwitz,1250252326,9781250252326.0,hardcover fiction,14,0,1,2023-02-18,minotaur
victory city,salman rushdie, salman rushdie,0593243390,9780593243398.0,hardcover fiction,15,7,2,2023-02-18,random house
spare,prince harry, prince harry,0593593804,9780593593806.0,hardcover nonfiction,1,1,6,2023-02-18,random house
the light we carry,michelle obama, michelle obama,0593237463,9780593237465.0,hardcover nonfiction,2,4,14,2023-02-18,crown
i'm glad my mom died,jennette mccurdy, jennette mccurdy,1982185821,9781982185824.0,hardcover nonfiction,3,2,28,2023-02-18,simon & schuster
unscripted,james b. stewart , james b. stewart / rachel abrams,1984879421,9781984879424.0,hardcover nonfiction,4,0,1,2023-02-18,penguin press
"love, pamela",pamela , pamela /erson,0063226561,9780063226562.0,hardcover nonfiction,5,3,3,2023-02-18,dey street
the climate book,greta thunberg, greta thunberg,0593492307,9780593492307.0,hardcover nonfiction,6,0,1,2023-02-18,penguin press
bittersweet,susan cain, susan cain,0451499786,9780451499783.0,hardcover nonfiction,7,0,5,2023-02-18,crown
the nazi conspiracy,brad meltzer , brad meltzer / josh mensch,1250777267,9781250777263.0,hardcover nonfiction,8,6,6,2023-02-18,flatiron
walk the blue line,james patterson , james patterson / matt eversmann / chris mooney,0316406600,9780316406604.0,hardcover nonfiction,9,0,1,2023-02-18,"little, brown"
never give an inch,mike pompeo, mike pompeo,0063247445,9780063247444.0,hardcover nonfiction,10,5,4,2023-02-18,broadside
the 1619 project,"edited  nikole hannah-jones, caitlin roper, ilena silverman ","edited  nikole hannah-jones, caitlin roper, ilena silverman / jake silverstein",0593230574,9780593230572.0,hardcover nonfiction,11,9,33,2023-02-18,one world
straight shooter,stephen a. smith, stephen a. smith,1982189495,9781982189495.0,hardcover nonfiction,12,10,5,2023-02-18,gallery/13a
greenlights,matthew mcconaughey, matthew mcconaughey,0593139135,9780593139134.0,hardcover nonfiction,13,14,86,2023-02-18,crown
"friends, lovers, and the big terrible thing",matthew perry, matthew perry,1250866448,9781250866448.0,hardcover nonfiction,14,12,16,2023-02-18,flatiron
finding me,viola davis, viola davis,0063037327,9780063037328.0,hardcover nonfiction,15,11,28,2023-02-18,harperone
