bookID,isbn,title,author,contributors,book_series,average_rating,num_pages,ratings_count,text_reviews_count,isbn13,language_code,publication_date,publisher
1,439785960,harry potter and the half-blood prince (harry potter  #6),j.k. rowling,mary grandpré,n,4.57,652,2095690,27591,9780000000000.0,eng,2006-09-16,scholastic inc.
2,439358078,harry potter and the order of the phoenix (harry potter  #5),j.k. rowling,mary grandpré,n,4.49,870,2153167,29221,9780000000000.0,eng,2004-09-01,scholastic inc.
4,439554896,harry potter and the chamber of secrets (harry potter  #2),j.k. rowling,,n,4.42,352,6333,244,9780000000000.0,eng,2003-11-01,scholastic
5,043965548x,harry potter and the prisoner of azkaban (harry potter  #3),j.k. rowling,mary grandpré,n,4.56,435,2339585,36325,9780000000000.0,eng,2004-05-01,scholastic inc.
8,439682584,harry potter boxed set  books 1-5 (harry potter  #1-5),j.k. rowling,mary grandpré,y,4.78,2690,41428,164,9780000000000.0,eng,2004-09-13,scholastic
9,976540606,"unauthorized harry potter book seven news: ""half-blood prince"" analysis and speculation",w. frederick zimmerman,,n,3.74,152,19,1,9780000000000.0,eng,2005-04-26,nimble books
10,439827604,harry potter collection (harry potter  #1-6),j.k. rowling,,y,4.73,3342,28242,808,9780000000000.0,eng,2005-09-12,scholastic
12,517226952,the ultimate hitchhiker's guide: five complete novels and one story (hitchhiker's guide to the galaxy  #1-5),douglas adams,,y,4.38,815,3628,254,9780000000000.0,eng,2005-11-01,gramercy books
13,345453743,the ultimate hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1-5),douglas adams,,y,4.38,815,249558,4080,9780000000000.0,eng,2002-04-30,del rey books
14,1400052920,the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams,,n,4.22,215,4930,460,9780000000000.0,eng,2004-08-03,crown
16,739322206,the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams,stephen fry,n,4.22,6,1266,253,9780000000000.0,eng,2005-03-23,random house audio
18,517149257,the ultimate hitchhiker's guide (hitchhiker's guide to the galaxy  #1-5),douglas adams,,y,4.38,815,2877,195,9780000000000.0,eng,1996-01-17,wings books
21,076790818x,a short history of nearly everything,bill bryson,,n,4.21,544,248558,9396,9780000000000.0,eng,2004-09-14,broadway books
22,767915062,bill bryson's african diary,bill bryson,,n,3.44,55,7270,499,9780000000000.0,eng,2002-12-03,broadway books
23,767910435,bryson's dictionary of troublesome words: a writer's guide to getting it right,bill bryson,,n,3.87,256,2088,131,9780000000000.0,eng,2004-09-14,broadway books
24,767903862,in a sunburned country,bill bryson,,n,4.07,335,72451,4245,9780000000000.0,eng,2001-05-15,broadway books
7906,64408582,emily of deep valley (deep valley  #2),maud hart lovelace,vera neville,n,4.23,304,2722,151,9780000000000.0,eng,2000-12-31,harpertrophy
26,60920084,the lost continent: travels in small town america,bill bryson,,n,3.83,299,45712,2257,9780000000000.0,eng,1990-08-28,william morrow paperbacks
27,380713802,neither here nor there: travels in europe,bill bryson,,n,3.86,254,48701,2238,9780000000000.0,eng,1993-03-28,william morrow paperbacks
28,380727501,notes from a small island,bill bryson,,n,3.91,324,80609,3301,9780000000000.0,eng,1997-05-28,william morrow paperbacks
29,380715430,the mother tongue: english and how it got that way,bill bryson,,n,3.93,270,28489,2085,9780000000000.0,eng,1991-09-28,william morrow paperbacks
30,345538374,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,j.r.r. tolkien,,y,4.59,1728,101233,1550,9780000000000.0,eng,2012-09-25,ballantine books
31,618517650,the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien,,n,4.5,1184,1710,91,9780000000000.0,eng,2004-10-21,houghton mifflin harcourt
34,618346252,the fellowship of the ring (the lord of the rings  #1),j.r.r. tolkien,,n,4.36,398,2128944,13670,9780000000000.0,eng,2003-09-05,houghton mifflin harcourt
35,618260587,the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien,alan  lee,n,4.5,1216,1618,140,9780000000000.0,eng,2002-10-01,houghton mifflin harcourt
36,618391002,the lord of the rings: weapons and warfare,chris   smith,christopher  lee/richard taylor,n,4.53,218,19822,46,9780000000000.0,eng,2003-11-05,houghton mifflin harcourt
37,618510826,the lord of the rings: complete visual companion,jude fisher,,n,4.5,224,359,6,9780000000000.0,eng,2004-11-15,houghton mifflin harcourt
45,097669400x,agile web development with rails: a pragmatic guide,dave thomas,david heinemeier hansson/leon breedt/mike clark/thomas  fuchs/andreas  schwarz,n,3.84,558,1430,59,9780000000000.0,eng,2005-07-28,pragmatic bookshelf
