title,Author(s),Year published,Approximate sales,Original language,book_series,No. of installments,First published,first,last
don quixote,miguel de cervantes,,500.0,spa,n,,1615,1615,
a tale of two cities,charles dickens,1859-01-01,200.0,eng,n,,1859,1859,
the little prince (le petit prince),antoine de saint-exupéry,1943-01-01,200.0,fra,n,,1943,1943,
harry potter and the philosopher's stone,j. k. rowling,1997-01-01,120.0,eng,n,,1997,1997,
and then there were none,agatha christie,1939-01-01,100.0,eng,n,,1939,1939,
dream of the red chamber (紅樓夢),cao xueqin,1791-01-01,100.0,zho,n,,1791,1791,
the hobbit,j. r. r. tolkien,1937-01-01,100.0,eng,n,,1937,1937,
"the lion, the witch and the wardrobe",c. s. lewis,1950-01-01,85.0,eng,n,,1950,1950,
she: a history of adventure,h. rider haggard,1887-01-01,83.0,eng,n,,1887,1887,
vardi wala gunda (वर्दी वाला गुंडा),ved prakash sharma,1992-01-01,80.0,hin,n,,1992,1992,
the da vinci code,dan brown,2003-01-01,80.0,eng,n,,2003,2003,
harry potter and the chamber of secrets,j. k. rowling,1998-01-01,77.0,eng,n,,1998,1998,
harry potter and the prisoner of azkaban,j. k. rowling,1999-01-01,65.0,eng,n,,1999,1999,
harry potter and the goblet of fire,j. k. rowling,2000-01-01,65.0,eng,n,,2000,2000,
harry potter and the order of the phoenix,j. k. rowling,2003-01-01,65.0,eng,n,,2003,2003,
harry potter and the half-blood prince,j. k. rowling,2005-01-01,65.0,eng,n,,2005,2005,
harry potter and the deathly hallows,j. k. rowling,2007-01-01,65.0,eng,n,,2007,2007,
the alchemist (o alquimista),paulo coelho,1988-01-01,65.0,por,n,,1988,1988,
the catcher in the rye,j. d. salinger,1951-01-01,65.0,eng,n,,1951,1951,
the bridges of madison county,robert james waller,1992-01-01,60.0,eng,n,,1992,1992,
ben-hur: a tale of the christ,lew wallace,1880-01-01,50.0,eng,n,,1880,1880,
you can heal your life,louise hay,1984-01-01,50.0,eng,n,,1984,1984,
one hundred years of solitude (cien años de soledad),gabriel garcía márquez,1967-01-01,50.0,spa,n,,1967,1967,
lolita,vladimir nabokov,1955-01-01,50.0,eng,n,,1955,1955,
heidi,johanna spyri,1880-01-01,50.0,deu,n,,1880,1880,
the common sense book of baby and child care,benjamin spock,1946-01-01,50.0,eng,n,,1946,1946,
anne of green gables,lucy maud montgomery,1908-01-01,50.0,eng,n,,1908,1908,
black beauty,anna sewell,1877-01-01,50.0,eng,n,,1877,1877,
the name of the rose (il nome della rosa),umberto eco,1980-01-01,50.0,ita,n,,1980,1980,
the eagle has landed,jack higgins,1975-01-01,50.0,eng,n,,1975,1975,
watership down,richard adams,1972-01-01,50.0,eng,n,,1972,1972,
the hite report,shere hite,1976-01-01,50.0,eng,n,,1976,1976,
charlotte's web,e. b. white; illustrated by garth williams,1952-01-01,50.0,eng,n,,1952,1952,
the ginger man,j. p. donleavy,1955-01-01,50.0,eng,n,,1955,1955,
the tale of peter rabbit,beatrix potter,1902-01-01,45.0,eng,n,,1902,1902,
jonathan livingston seagull,richard bach,1970-01-01,44.0,eng,n,,1970,1970,
the very hungry caterpillar,eric carle,1969-01-01,43.0,eng,n,,1969,1969,
a message to garcia,elbert hubbard,1899-01-01,40.0,eng,n,,1899,1899,
to kill a mockingbird,harper lee,1960-01-01,40.0,eng,n,,1960,1960,
flowers in the attic,v. c. andrews,1979-01-01,40.0,eng,n,,1979,1979,
cosmos,carl sagan,1980-01-01,40.0,eng,n,,1980,1980,
sophie's world (sofies verden),jostein gaarder,1991-01-01,40.0,nor,n,,1991,1991,
angels & demons,dan brown,2000-01-01,39.0,eng,n,,2000,2000,
kane and abel,jeffrey archer,1979-01-01,37.0,eng,n,,1979,1979,
